indicator,percentile,threshold,correlation_type,correlation_value,bull_return,bull_excess,bull_sharpe,bull_drawdown,bear_return,bear_excess,bear_sharpe,bear_drawdown,sideways_return,sideways_excess,sideways_sharpe,sideways_drawdown,avg_excess,min_excess,max_drawdown,max_rank_ic,max_pearson_ic
rate,70,4.97,negative,-0.002442499172245225,3.0148028910010947,0.6124288393992741,3.1624999160280995,-0.39884118098136717,0.28004716248591843,0.6813590645363861,0.8851353922690837,-0.45682115934218676,0.13576864576276582,0.015795211609065607,0.6413070021164166,-0.3948520791508566,0.43652770518157524,0.015795211609065607,-0.45682115934218676,-0.027776174337156744,-0.01674887448946369
count,70,2982.0,negative,-0.002442499172245229,3.0148028910010947,0.6124288393992741,3.1624999160280995,-0.39884118098136717,0.28004716248591843,0.6813590645363861,0.8851353922690837,-0.45682115934218676,0.13576864576276582,0.015795211609065607,0.6413070021164166,-0.3948520791508566,0.43652770518157524,0.015795211609065607,-0.45682115934218676,-0.027776174337156744,-0.016748874489463744
sol_1d_1w,60,848.0,negative,-0.0020635139795478056,2.9529642181605715,0.5505901665587509,3.3764463691304845,-0.35117732325515966,0.3155279396564017,0.7168398417068693,1.0224949546610913,-0.42286485229012266,0.1472591276184787,0.027285693464778493,0.7259441831391277,-0.384493093744387,0.43157190057679956,0.027285693464778493,-0.42286485229012266,-0.027698841615149145,-0.015431622655141466
sol_1m_3m,50,127.0,negative,-0.001767125370619715,2.7336901599026437,0.33131610830082314,3.5319628473733666,-0.31694296080986456,0.4245075347348468,0.8258194367853144,1.3538658668627925,-0.36700218545765534,0.2457573079974109,0.1257838738437107,1.2925894156926598,-0.2101295900795139,0.4276398063099494,0.1257838738437107,-0.36700218545765534,-0.02794611180564366,-0.009990056824545925
transfers_to_exchanges_count,70,622.0,negative,-0.005247572053780752,2.891706908638303,0.4893328570364823,3.349701918142957,-0.3535851412461012,0.28953416127086795,0.6908460633213356,0.9343350911834395,-0.40912715111298975,0.20193726774203102,0.08196383358833081,0.9658854556684036,-0.4017123630412253,0.4207142513153829,0.08196383358833081,-0.40912715111298975,-0.029186080007028607,-0.024035482547059037
active_count,80,14209.0,negative,-0.00324921128530161,2.9807234964177285,0.5783494448159079,3.0362784905064197,-0.42813228454896346,0.2100306112405017,0.6113425132909693,0.7137183798195553,-0.43820251114062236,0.17030812775192583,0.05033469359822562,0.7611878588002697,-0.33451778236639523,0.4133422172350343,0.05033469359822562,-0.43820251114062236,-0.029538969629565273,-0.02207229081890888
utxo_spent_count,70,7216.0,negative,-0.002481636997694166,2.9946800584303412,0.5923060068285206,3.153327919956071,-0.4318302086923135,0.21538929558803943,0.6167011976385071,0.7339227999086336,-0.5141932259496506,0.15056880403063233,0.03059536987693212,0.7173169227288008,-0.3592093782509753,0.4132008581146533,0.03059536987693212,-0.5141932259496506,-0.028576503146924042,-0.01847785831546723
entity_adjusted_count,60,1947.0,negative,-0.0019919079908687107,2.8298766037935947,0.42750255219177413,3.369037656815149,-0.3236516335001545,0.38599410385416055,0.7873060059046282,1.1905175094458844,-0.38374953427006964,0.13396204874062523,0.013988614586925019,0.6652229325359024,-0.4259277665091526,0.4095990575611091,0.013988614586925019,-0.4259277665091526,-0.027710628164266737,-0.018701020897246273
utxo_spent_count,50,5285.0,negative,-0.002481636997694166,2.6852391381853504,0.2828650865835298,3.305594055092142,-0.35318623607157146,0.4975693300763293,0.8988812321267969,1.5427811357275318,-0.36303728205944746,0.16445978153511898,0.04448634738141877,0.8646904932306874,-0.3050732074461935,0.40874422203058186,0.04448634738141877,-0.36303728205944746,-0.028576503146924042,-0.01847785831546723
sol_1w_1m,50,292.0,negative,-0.0008020167663867086,2.6126252637925313,0.21025121219071075,3.501802132616005,-0.34032379531834617,0.4383982528117569,0.8397101548622246,1.3979554412525201,-0.3936410003315841,0.283831341097353,0.16385790694365276,1.419816158157694,-0.2640728359584887,0.4046064246655294,0.16385790694365276,-0.3936410003315841,-0.02756995561748902,-0.012504859181252801
