indicator,percentile,threshold,bull_return,bull_excess,bull_sharpe,bear_return,bear_excess,bear_sharpe,sideways_return,sideways_excess,sideways_sharpe,avg_return,avg_excess
active_6m_12m,95,3938784.731265066,-0.7436687791917329,0.26394976022638805,-1.4620812894990607,0.18442410074673946,0.0,0.324313686905836,-0.24080800166227964,-0.00043943065996768227,-0.42365629694526297,-0.26668422670242437,0.08783677652214013
block_interval_mean,85,652.4332744107746,-0.7389177453529419,0.2687007940651791,-1.478759391216838,0.2117470062006806,0.027322905453941143,0.3971390851539184,-0.2730660309698217,-0.03269745996750972,-0.5274688953658454,-0.2667455900406943,0.08777541318387017
spot_volume_daily_sum_all,4,6570.8025301746275,-0.69137413669169,0.31624440272643095,-1.4458233039969801,0.13511250141177286,-0.049311599334966594,0.24109060354706546,-0.24449789627787286,-0.004129325275560897,-0.4792790140875653,-0.26691984385259665,0.08760115937196782
transfers_volume_to_exchanges_mean,5,0.25798445307109064,-0.9063901647807509,0.10122837463737011,-1.6769855849504978,0.28245685629842954,0.09803275555169008,0.5275106109701263,-0.17691592498965042,0.06345264601266154,-0.31292847172523863,-0.2669497444906572,0.08757125873390725
transfers_from_miners_count,90,7213.700000000001,-0.8698561178761306,0.13776242154199037,-1.6891405580309686,0.21469595925003257,0.030271858503293114,0.378453617006884,-0.14570199860685454,0.09466657239545742,-0.25807708160484194,-0.2669540524109842,0.0875669508135803
accumulation_balance,7,2189928.14490074,-0.8489533552773971,0.15866518414072384,-1.546424965151767,0.18442410074673946,0.0,0.324313686905836,-0.13640292787246272,0.10396564312984924,-0.24359161136351437,-0.26697739413437344,0.08754360909019103
realized_loss_account_based,93,340483920.116275,-0.836842846900876,0.170775692517245,-1.5037153408113109,0.18442410074673946,0.0,0.324313686905836,-0.14880877819334862,0.09155979280896334,-0.2656409892624485,-0.2670758414491617,0.08744516177540278
svl_entity_adjusted_1m_3m,20,8304.393953660001,-0.7323501966134512,0.2752683428046697,-1.4936949409915754,0.1132979692968246,-0.07112613144991485,0.2378164594487323,-0.18241676492086953,0.05795180608144243,-0.39155485466513246,-0.26715633074583206,0.08736467247873243
lth_profit_sum,80,13055721.44335292,-0.8693317224364061,0.13828681698171486,-1.6451285275308554,0.297222774766681,0.11279867401994156,0.8586286218013933,-0.2294843712116188,0.010884199790693161,-0.4892459484261942,-0.26719777296044794,0.08732323026411654
supply_balance_1k_10k,6,2791458.7230612286,-0.7452121622336558,0.26240637718446513,-1.4458776348475078,0.18442410074673946,0.0,0.324313686905836,-0.24080800166227964,-0.00043943065996768227,-0.42365629694526297,-0.2671986877163987,0.08732231550816583
leverage_position_openings,9,0.0,-0.5337749921840852,0.47384354723403577,-1.2386949828546816,0.06397564460984806,-0.1204484561368914,0.10710660036284518,-0.3318847877918549,-0.09151621678954291,-0.6881178154439328,-0.26722804512203063,0.08729295810253383
asol_account_based,91,60.665296975984845,-0.8862563004416882,0.12136223897643272,-1.5929091789648429,0.20347991355152645,0.019055812804786992,0.3674119499004706,-0.1189924786084503,0.12137609239386166,-0.21278031518087748,-0.26725628849953736,0.08726471472502713
transfers_volume_by_size_entity_adjusted_relative,40,0.1666666666666657,-0.7528469601564124,0.25477157926170857,-1.8314936403296458,0.13425829299283162,-0.05016580775390783,0.2803070127780594,-0.1832629791945833,0.05710559180772867,-0.41995653551119333,-0.26728388211938797,0.08723712110517647
realized_volatility_all,20,44.2670306393262,-0.7442409334183954,0.2633776059997256,-1.7523433477631924,0.14812707513211235,-0.03629702561462711,0.29569321906434426,-0.2057940683736822,0.034574502628629766,-0.568335334092326,-0.2673026422199884,0.08721836100457608
svl_3y_5y,8,70.93917815040001,-0.8163291554970057,0.19128938392111527,-1.531372425894774,0.17163664434534037,-0.012787456401399083,0.30579887646144194,-0.15741474095852606,0.0829538300437859,-0.286831367754947,-0.26736908403673043,0.08715191918783403
balance_exchanges_all,94,123861.20334616854,-0.8502279540510141,0.15739058536710682,-1.533825818309433,0.18442410074673946,0.0,0.324313686905836,-0.13640292787246272,0.10396564312984924,-0.24359161136351437,-0.26740226039224585,0.08711874283231869
mvrv_z_score,9,-0.0540543713232854,-0.7461303828066771,0.26148815661144387,-1.5453604865122001,0.18442410074673946,0.0,0.324313686905836,-0.24080800166227964,-0.00043943065996768227,-0.42365629694526297,-0.26750476124073913,0.0870162419838254
exchange_reliance_ratio,4,0.00017402188160616365,-0.916094194526496,0.09152434489162498,-1.641161016192564,0.3012144504028136,0.11679034965607413,0.5545998794123649,-0.18776050001119354,0.052608070991118416,-0.33369812055171416,-0.26754674804495865,0.08697425517960584
lth_loss_sum,94,4656184.597123307,-0.746268861395832,0.2613496780222889,-1.404301258965732,0.18442410074673946,0.0,0.324313686905836,-0.24080800166227964,-0.00043943065996768227,-0.42365629694526297,-0.26755092077045745,0.08697008245410709
balance_otc_desks,6,641.125206336,-0.6707305752838528,0.33688796413426814,-1.393507233158486,0.18703399340371307,0.002609892656973617,0.32973244482479164,-0.31918047508573905,-0.07881190408342709,-0.64994486870456,-0.26762568565529293,0.08689531756927156
lth_profit_sum,90,13917360.43140507,-0.9634313944756312,0.044187144942489764,-1.690798670045499,0.38909720874081083,0.20467310799407137,0.8488401664598487,-0.22860219121090022,0.011766379791411735,-0.4038088713694113,-0.26764545898190684,0.08687554424265763
unrealized_profit_less_155,9,0.003108156102582194,-0.7466565397379074,0.2609619996802136,-1.5927063320075436,0.18442410074673946,0.0,0.324313686905836,-0.24080800166227964,-0.00043943065996768227,-0.42365629694526297,-0.26768014688448255,0.08684085634008198
mvrv_z_score,10,0.04938108680917558,-0.7466956795711874,0.26092285984693353,-1.5947543545918765,0.18442410074673946,0.0,0.324313686905836,-0.24080800166227964,-0.00043943065996768227,-0.42365629694526297,-0.2676931934955759,0.08682780972898863
hash_rate_mean,91,7.284723518313018e+20,-0.8514030458543443,0.15621549356377662,-1.6003009438376816,0.18442410074673946,0.0,0.324313686905836,-0.13640292787246272,0.10396564312984924,-0.24359161136351437,-0.26779395766002256,0.08672704556454196
transfers_volume_miners_to_exchanges,91,447.4600340034359,-0.8871240176710609,0.1204945217470601,-1.6294739610541216,0.11511100866740791,-0.06931309207933155,0.20658088401231448,-0.031381010918439846,0.20898756008387212,-0.06002607761194856,-0.2677980066406976,0.0867229965838669
transfers_volume_exchanges_to_whales_sum,9,2851.1617805983424,-0.8357294389095256,0.1718891005085954,-1.6589506819365634,0.253370581273939,0.06894648052719957,0.4703187354217757,-0.22110162905976935,0.01926694194254261,-0.3954499466354384,-0.2678201622317853,0.0867008409927792
balance_wbtc,92,258533.62469702406,-0.6461115260793202,0.36150701333880075,-1.3286799531748672,0.11236813981089283,-0.07205596093584662,0.20896828901407408,-0.26978072388519136,-0.029412152882879405,-0.5304870872674389,-0.26784137005120623,0.08667963317335824
btc_sharpe_signal,8,0.3036172367016384,-0.7842440081392807,0.22337453127884022,-1.4182491327684945,0.19990213811298754,0.015478037366248087,0.35273937139922584,-0.2192646328852294,0.021103938117082555,-0.3977701467335737,-0.2678688343038409,0.08665216892072362
mvrv_by_wallet_size,20,1.2392089485853461,-0.6964299995524457,0.3111885398656753,-1.580925120852477,0.18442410074673946,0.0,0.324313686905836,-0.29173111675335256,-0.0513625457510406,-0.5178724857620106,-0.26791233851968627,0.08660866470487823
min_1_count,92,1013298.08,-0.8519227309886988,0.1556958084294222,-1.571389147191143,0.18442410074673946,0.0,0.324313686905836,-0.13640292787246272,0.10396564312984924,-0.24359161136351437,-0.2679671860381407,0.08655381718642381
revived_more_3y_sum,10,196.419608754,-0.7597142106510768,0.24790432876704416,-1.452277592897955,0.151090896994842,-0.03333320375189747,0.2692712896649934,-0.19544532500669082,0.04492324599562114,-0.36438922242575794,-0.26802287955430854,0.08649812367025594
transfers_volume_median,10,0.0012450410000000001,-0.8221429265451246,0.1854756128729964,-1.6677273353535174,0.18442410074673946,0.0,0.324313686905836,-0.16638196993759435,0.0739866010647176,-0.30011540021657684,-0.2680335985786598,0.08648740464590467
realized_profit_lth_account_based,91,536447325.44904035,-0.9851621651065832,0.022456374311537797,-1.7404459347690346,0.32881706110288084,0.14439296035614138,0.6331287466869884,-0.14775608898603468,0.09261248201627728,-0.26402566892319296,-0.26803373099657896,0.08648727222798548
transfers_to_exchanges_count,90,93152.30000000002,-0.8956018043348553,0.1120167350832657,-1.609683768089319,0.23484322689384352,0.05041912614710406,0.44134474253373257,-0.14340799258146952,0.09696057842084244,-0.25780779041355517,-0.2680555233408271,0.08646547988373739
svl_entity_adjusted_7y_10y,30,2.2020796399999996,-0.7456707965743499,0.2619477428437711,-1.5749527149824332,0.1739277711248728,-0.010496329621866668,0.34102558863787236,-0.2324417862906148,0.007926784711697166,-0.450321074885428,-0.2680616039133639,0.08645939931120054
svl_1m_3m,6,2470.4753827124,-0.9111985579041989,0.09641998151392206,-1.7174280415148713,0.10261879012551817,-0.08180531062122129,0.19849735153463358,0.004366007391446972,0.24473457839375892,0.008260608604574567,-0.2680712534624113,0.08644974976215324
futures_volume_buy_daily_perpetual_sum,1,10.5426596784,-0.692180928733451,0.3154376106846699,-1.4893127456525548,0.14158815322252077,-0.04283594752421868,0.23452881927698999,-0.25375943941080625,-0.013390868408494294,-0.5023231633915444,-0.2681174049739122,0.0864035982506523
futures_volume_buy_perpetual_sum,1,10.542659678399998,-0.692180928733451,0.3154376106846699,-1.4893127456525548,0.14158815322252077,-0.04283594752421868,0.23452881927698999,-0.25375943941080625,-0.013390868408494294,-0.5023231633915444,-0.2681174049739122,0.0864035982506523
loss_sum,93,8730543.006383983,-0.7480706969790714,0.2595478424390496,-1.428244311334266,0.18442410074673946,0.0,0.324313686905836,-0.24080800166227964,-0.00043943065996768227,-0.42365629694526297,-0.2681515326315372,0.08636947059302731
balance_luna_foundation_guard,70,313.03430977,-0.4830185111855805,0.5246000282325405,-1.2668866249050013,0.07825844111279939,-0.10616565963394006,0.25823984982484893,-0.40010881860605996,-0.159740247603748,-1.1587078852961912,-0.2682896295596137,0.0862313736649508
transfers_volume_to_exchanges_mean,6,0.2660289736594211,-0.8948847463812719,0.11273379303684905,-1.6676438939781166,0.24700949158558516,0.0625853908388457,0.46330658848740897,-0.15703674192241796,0.083331829079894,-0.2782434683018511,-0.2683039989060349,0.08621700431852959
realized_loss_sth_to_exchanges_account_based,93,30590074.553144425,-0.826113118880518,0.181505420537603,-1.495621110736043,0.18290900259787282,-0.0015150981488666337,0.3216521511923112,-0.16175610033231544,0.07861247066999652,-0.2900605609926198,-0.2683200722049869,0.08620093101957764
receiving_from_exchanges_count,91,55621.53,-0.8645627118630964,0.14305582755502455,-1.5416713961349497,0.2060250997679894,0.021600999021249956,0.3771670455819793,-0.14666176255691737,0.09370680844539458,-0.2634927368548381,-0.2683997915506748,0.0861212116738897
futures_liquidated_volume_short_mean,4,0.09291409257970494,-0.6528535011240855,0.3547650382940355,-1.3491214281799295,0.055375190837325027,-0.12904890990941442,0.09314302654742071,-0.2077450923846305,0.03262347861768147,-0.41149838305008557,-0.2684078008904636,0.08611320233410084
realized_supply_density_less_155,94,0.7293947548620305,-0.8449258631285465,0.1626926762895745,-1.6296708212660727,0.33530837227840005,0.1508842715316606,0.6180356068115886,-0.2956184054703163,-0.055249834468004355,-0.5445708272275483,-0.2684119654401542,0.08610903778441026
segwit_adoption,92,0.9348163112656362,-0.6754343836121371,0.3321841558059838,-1.425038710178714,0.18594983705245233,0.0015257363057128714,0.32704984683857485,-0.31577812153703044,-0.07540955053471848,-0.6611768480858575,-0.26842088936557174,0.08610011385899273
